代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
600671.SH	2014-05-31	未及时披露公司重大事件,未依法履行其他职责,未按时披露定期报告	胡新笠	公司高管	公开批评	上海证券交易所		《上海证券交易所股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	制造业	中药生产
600671.SH	2014-05-31	未及时披露公司重大事件,未依法履行其他职责,未按时披露定期报告	杭州天目山药业股份有限公司	公司本身	公开批评	上海证券交易所		《上海证券交易所股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	制造业	中药生产
601700.SH	2014-05-28	涉嫌违反证券法律法规	赵煜敏	公司高管	公开处罚	中国证券监督管理委员会	44.9	《公司法》、《证券法》、《上海证券交易所股票上市规则》	是	制造业	其他输变电设备
601700.SH	2014-05-28	涉嫌违反证券法律法规	范立义	公司高管	公开处罚	中国证券监督管理委员会	39.12	《公司法》、《证券法》、《上海证券交易所股票上市规则》	是	制造业	其他输变电设备
600503.SH	2014-05-27	未及时披露公司重大事件,未依法履行其他职责	陈志坚	公司高管	公开批评	上海证券交易所		《股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	房地产业	房地产
600713.SH	2014-05-27	未及时披露公司重大事件,涉嫌违反证券法律法规	周耀平	公司高管	公开批评	上海证券交易所		《股票上市规则》	是	批发和零售业	医药商业
600503.SH	2014-05-27	未及时披露公司重大事件,未依法履行其他职责	金鑫	公司高管	公开批评	上海证券交易所		《股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	房地产业	房地产
600503.SH	2014-05-27	未及时披露公司重大事件,未依法履行其他职责	狄自中	公司高管	公开批评	上海证券交易所		《股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	房地产业	房地产
600713.SH	2014-05-27	未及时披露公司重大事件,涉嫌违反证券法律法规	何金耿	公司高管	公开批评	上海证券交易所		《股票上市规则》	是	批发和零售业	医药商业
600503.SH	2014-05-27	未及时披露公司重大事件,未依法履行其他职责	曾志锋	公司高管	公开批评	上海证券交易所		《股票上市规则》,《上海证券交易所纪律处分和监管措施实施办法》	否	房地产业	房地产
600247.SH	2014-05-26	未及时披露公司重大事件	闫家英	公司高管	公开谴责	上海证券交易所		《股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	否	批发和零售业	贸易
600247.SH	2014-05-26	未及时披露公司重大事件	曹峰	公司高管	公开批评	上海证券交易所		《股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	否	批发和零售业	贸易
600247.SH	2014-05-26	未及时披露公司重大事件	陈栋	公司高管	公开批评	上海证券交易所		《股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	否	批发和零售业	贸易
600247.SH	2014-05-26	未及时披露公司重大事件	王淑霞	公司高管	公开谴责	上海证券交易所		《股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	否	批发和零售业	贸易
600247.SH	2014-05-26	未及时披露公司重大事件	成卫文	公司高管	公开谴责	上海证券交易所		《股票上市规则》、《上海证券交易所纪律处分和监管措施实施办法》	否	批发和零售业	贸易
