,Open,High,low,Close,AvgPrice,Turn,Volume,Amount,Tnum,mean_volume,std_volume,zscore_volume,signal
2015-08-19,9.5334,9.5334,9.5334,9.5334,9.5334,0.2013,2998366.0,38768872.0,959.0,28888118.16,40862945.6428,-0.633575278355,0
2015-08-20,10.4846,10.4846,10.4846,10.4846,10.4846,0.4355,6486826.0,92242665.0,1906.0,27477741.2,40382431.1555,-0.519803156951,0
2015-08-21,10.3887,10.7426,9.8062,10.079,10.2675,12.7098,189333918.0,2636585584.0,92464.0,29314463.8,45407954.4579,3.52404014033,1
2015-08-24,9.5113,9.5777,9.0689,9.0689,9.1497,4.3691,65084421.0,807674416.0,27078.0,27976715.82,43256169.2303,0.857859256616,0
2015-08-25,8.162,8.3316,8.162,8.162,8.1736,4.0349,60106928.0,666325056.0,23699.0,26837891.86,41580387.1227,0.800113669982,0
2015-08-26,8.1473,8.2431,7.3436,7.3436,7.7553,8.4942,126535451.0,1330935456.0,58732.0,27724213.98,43224785.1878,2.28598561198,1
2015-08-27,7.5058,7.8155,6.8422,7.5427,7.4272,7.1979,107224987.0,1080113344.0,45530.0,28728884.8,44484359.6775,1.76457754521,0
2015-08-28,7.6312,8.2948,7.5206,8.2948,7.8774,8.0007,119183740.0,1273341504.0,50306.0,29979696.48,46133944.8137,1.93358803112,0
2015-08-31,8.2948,8.7003,8.1325,8.1473,8.4097,8.2755,123277392.0,1406086160.0,54823.0,31265478.3,47823869.3388,1.92397467984,0
2015-09-01,8.0367,8.0367,7.3362,7.3362,7.5546,6.0624,90309071.0,925323680.0,40048.0,31932741.58,48418541.0714,1.20566064421,0
2015-09-02,6.7833,7.5206,6.6579,7.2257,7.1266,6.4919,96708232.0,934755728.0,35348.0,32680443.1,49133528.4612,1.30313842513,0
2015-09-07,7.3362,7.7565,7.292,7.3657,7.5278,4.4512,66307760.0,676990816.0,30453.0,32893075.14,49257923.8943,0.678361616127,0
2015-09-08,7.3657,7.8819,7.2257,7.6902,7.53,4.3677,65064386.0,664488832.0,30677.0,32960835.34,49300638.6336,0.651179204769,0
2015-09-09,7.8081,8.457,7.6975,8.457,8.1045,7.5925,113102952.0,1243230576.0,45461.0,33649069.92,50184334.2252,1.58324073253,0
2015-09-10,8.2579,8.3759,7.9703,8.0367,8.2032,5.6963,84855321.0,944083376.0,38565.0,33335900.68,49805988.7444,1.03440211948,0
2015-09-11,8.0514,8.28,7.9482,8.1768,8.1279,4.4699,66586101.0,734026800.0,27006.0,33121580.24,49635701.371,0.674202637127,0
2015-09-14,8.2284,8.2284,7.3584,7.3584,7.6736,4.5878,68343648.0,711284480.0,32125.0,32904336.02,49453320.2358,0.716621488932,0
2015-09-15,6.9971,7.2035,6.6211,6.6432,6.8549,4.9562,73830796.0,686411808.0,29392.0,32644910.3,49198174.069,0.837142566353,0
2015-09-16,6.7833,7.3068,6.7095,7.3068,6.9804,4.1325,61560798.0,582818192.0,27540.0,31824381.7,48342547.6289,0.615118932669,0
2015-09-17,7.3068,7.7713,7.2257,7.3068,7.5195,5.4909,81796088.0,834209344.0,35218.0,33460303.46,48626788.16,0.994015569791,0
2015-09-18,7.4321,7.5796,7.2846,7.5206,7.4491,3.4714,51712043.0,522447296.0,21414.0,34494544.32,48450208.6498,0.355364799447,0
2015-09-21,7.3436,7.8008,7.2994,7.7639,7.5895,3.9501,58843877.0,605711440.0,23100.0,35671421.86,48309689.2231,0.479664752819,0
2015-09-22,7.8671,7.9998,7.6828,7.7786,7.8381,4.8275,71914129.0,764496080.0,25239.0,37109704.44,48296517.8559,0.720640454118,0
2015-09-23,7.6312,8.1473,7.5501,7.7639,7.8813,5.6182,83693222.0,894615648.0,32094.0,38783568.88,48434245.5694,0.927229331067,0
2015-09-24,7.8671,8.1178,7.7786,8.1104,7.9532,4.9213,73310875.0,790791952.0,28723.0,40249786.38,48345780.6898,0.683846411172,0
2015-09-25,8.221,8.4643,7.8745,8.0219,8.2112,7.4057,110320099.0,1228604656.0,47428.0,42456188.36,48984546.488,1.3854146972,0
2015-09-28,8.1031,8.2284,7.8892,8.162,8.1179,4.365,65024695.0,715936768.0,26628.0,43756682.26,48696697.5538,0.436744457189,0
2015-09-29,7.9335,8.0367,7.6828,7.7344,7.8339,4.0413,60202538.0,639650096.0,25678.0,44960733.02,48335642.2547,0.315332625554,0
2015-09-30,7.8892,7.9335,7.6902,7.8081,7.8163,2.2785,33941969.0,359822128.0,14292.0,45639572.4,47927940.3404,-0.244066473897,0
2015-10-08,8.1399,8.398,8.0441,8.1989,8.249,5.2391,78045373.0,873163248.0,27428.0,47200479.86,47681474.9329,0.64689469408,0
2015-10-09,8.2358,8.457,8.1694,8.3169,8.3231,4.5384,67607063.0,763181216.0,25240.0,48552621.12,47272496.766,0.403076697521,0
2015-10-12,8.4717,8.9952,8.4496,8.7814,8.7067,6.5327,97315531.0,1149166128.0,37044.0,50498931.74,47236015.4631,0.991120838643,0
2015-10-13,8.6929,8.8772,8.6339,8.8182,8.762,4.6477,69235048.0,822769760.0,27507.0,51883632.7,46737619.0728,0.371251587998,0
2015-10-14,8.892,9.268,8.7003,8.9952,9.0164,8.0538,119975357.0,1467146944.0,48817.0,54283139.84,47097930.2469,1.39480051067,0
2015-10-15,8.9952,9.8947,8.9805,9.8284,9.5253,10.6466,158599215.0,2048946352.0,66108.0,57455124.14,48681523.6898,2.07766896337,1
2015-10-16,9.8284,9.9168,9.5261,9.8505,9.7296,9.3841,139791688.0,1844690544.0,64953.0,60250957.9,49324421.8243,1.6126033952,0
2015-10-19,10.1602,10.6763,10.0274,10.2486,10.3356,10.5402,157013543.0,2201008176.0,78814.0,63391228.76,50396749.5147,1.8577054104,0
2015-10-20,10.315,10.5509,10.1085,10.3666,10.318,6.5793,98009707.0,1371556064.0,52911.0,65351422.9,49783133.53,0.656011017875,0
2015-10-21,10.4698,10.8311,9.3565,9.5113,10.1553,10.6423,158535211.0,2183574800.0,81082.0,68522127.12,50578167.5184,1.77968258433,0
2015-10-22,9.6956,10.4624,9.6735,10.4624,10.3171,13.7545,204897186.0,2867102496.0,80498.0,72620070.84,53148351.8836,2.48882816629,1
2015-10-23,10.5804,11.5094,10.4477,11.5094,11.0039,15.0197,223743662.0,3339240928.0,92704.0,77094944.08,56238569.5742,2.60761820634,1
2015-10-26,12.0182,12.6007,11.5094,11.7527,11.9326,17.0101,253394729.0,4100916416.0,139757.0,82162838.66,60411828.9313,2.83440997184,1
2015-10-27,11.4578,12.9251,11.0892,12.9177,12.014,15.7476,234586491.0,3822457040.0,125408.0,86854568.48,62956331.7992,2.34657767214,1
2015-10-28,12.5343,12.667,11.7085,11.797,12.2408,12.2909,183094281.0,3039707280.0,116436.0,90516454.1,63125948.2616,1.46655740546,0
2015-10-29,12.0919,12.291,11.4504,11.8412,11.9186,9.28,138241795.0,2234659008.0,78475.0,93281290.0,62099598.3548,0.724006373489,0
2015-10-30,12.0034,12.35,11.7233,11.797,12.0727,9.2531,137839896.0,2256971248.0,80169.0,96038087.92,60922453.0912,0.686147815115,0
2015-11-02,11.1629,12.1435,10.8311,11.5537,11.4864,9.0569,134918390.0,2101866000.0,81905.0,98736455.72,59554472.2975,0.607543529212,0
2015-11-03,11.5832,11.7011,10.9712,11.0965,11.2744,6.6761,99451622.0,1520736256.0,61525.0,100725488.16,57825182.4659,-0.0220296089987,0
2015-11-04,11.1998,11.9444,11.1555,11.8191,11.5847,8.052,119947495.0,1884623744.0,66820.0,103124438.06,56021123.6006,0.300298456345,0
2015-11-05,11.8633,12.7334,11.5905,12.1583,12.1413,12.6601,188594090.0,3105576704.0,97431.0,106809960.04,55446819.8961,1.47500127353,0
2015-11-06,12.1804,12.608,12.0255,12.2615,12.3368,8.9967,134021525.0,2242475728.0,71941.0,109430423.22,53502512.4033,0.459625177873,0
2015-11-09,12.1435,12.5048,11.738,12.1656,12.1482,9.248,137764092.0,2269860736.0,71334.0,112055968.54,51532466.6844,0.498872363659,0
2015-11-10,12.2025,13.3306,12.0182,12.6007,12.6687,13.175,196263400.0,3372260768.0,103588.0,112194558.18,51753381.1756,1.62441254871,0
2015-11-11,12.7186,13.7582,12.6818,13.4412,13.2404,12.8471,191378988.0,3436731232.0,95259.0,114720449.52,52484013.7449,1.46060739281,0
2015-11-12,13.4043,13.6624,12.9767,13.2716,13.291,9.6049,143081356.0,2579225136.0,81760.0,116379938.08,52031784.3225,0.513175134539,0
2015-11-13,13.2569,13.9794,12.6375,13.5075,13.3368,12.6447,188364801.0,3407214960.0,106301.0,117616525.08,53003706.2789,1.33477978969,0
2015-11-16,13.0578,14.2301,13.0504,13.9057,13.7345,8.0164,119418352.0,2224503072.0,73618.0,117860392.38,52982966.0805,0.0294049151124,0
