代码	公告日期	违规类型	处罚对象	关系	处分类型	处理人	处罚金额(万元)	相关法规	是否发债	证监会行业(2012)	东财行业
000633.SZ	2004-07-23	未及时披露公司重大事项			公开谴责	深圳证券交易所	0	《深圳证券交易所股票上市规则》,《董事声明及承诺书》	否	制造业	铜
600555.SH	2004-07-23	未及时披露公司重大事项			公开谴责	上海证券交易所	0	《上海证券交易所股票上市规则》,《董事(监事)声明与承诺》	否	房地产业	房地产
000038.SZ	2004-07-23	涉嫌违反证券法律法规	深圳大通实业股份有限公司	公司本身	立案调查	中国证券监督管理委员会深圳稽查局			否	房地产业	房地产
600887.SH	2004-07-22	涉嫌违反证券法律法规	内蒙古伊利实业集团股份有限公司	公司本身	立案调查	中国证券监督管理委员会			否	制造业	乳制品
600299.SH	2004-07-17	涉嫌违反证券法律法规	蓝星化工新材料股份有限公司	公司本身	立案调查	中华人民共和国商务部			否	制造业	生物医药
002002.SZ	2004-07-16	涉嫌违反证券法律法规	江苏金材科技股份有限公司	公司本身	立案调查	中国证券监督管理委员会江苏监管局			否	制造业	塑料制品
000037.SZ	2004-07-12	未及时披露公司重大事项	仲澄溧	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	火电
000037.SZ	2004-07-12	未及时披露公司重大事项	李立	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	火电
000037.SZ	2004-07-12	未及时披露公司重大事项	崔继纯	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	火电
000037.SZ	2004-07-12	未及时披露公司重大事项	王建彬	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	火电
000037.SZ	2004-07-12	未及时披露公司重大事项	傅博	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	火电
000037.SZ	2004-07-12	未及时披露公司重大事项	简基遥	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	火电
000037.SZ	2004-07-12	未及时披露公司重大事项	劳德容	公司高管	公开处罚	中国证券监督管理委员会	5	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	火电
000037.SZ	2004-07-12	未及时披露公司重大事项	黄德晨	公司高管	公开处罚	中国证券监督管理委员会	0	《中华人民共和国证券法》	否	电力、热力、燃气及水生产和供应业	火电
002002.SZ	2004-07-12	未及时披露公司重大事项			公开谴责	深圳证券交易所	0	《深圳证券交易所股票上市规则》	否	制造业	塑料制品
